VOC,Temperature,Humidity,VQI,label,status
0.0226,26.3,70,89.234373982151,2,Fresh
0.0226,26.3,66,86.37723112500815,1,Moderate
0.0226,26.3,67,87.09151683929386,1,Moderate
0.0226,26.3,67,87.09151683929386,1,Moderate
0.0226,26.5,69,89.69655885610057,2,Fresh
0.0254,26.6,70,90.32078529086053,2,Fresh
0.0254,26.9,68,90.65691974464204,2,Fresh
0.0254,27.0,67,90.53086932447397,2,Fresh
0.0254,26.9,67,89.94263403035633,2,Fresh
0.0254,26.9,67,89.94263403035633,2,Fresh
0.0254,26.9,67,89.94263403035633,2,Fresh
0.0254,26.8,67,89.35439873623868,2,Fresh
0.02,26.8,67,90.66253827112241,2,Fresh
0.0212,26.8,67,90.3718405967038,2,Fresh
0.0212,26.8,67,90.3718405967038,2,Fresh
0.0212,26.7,67,89.78360530258614,2,Fresh
0.0212,26.7,67,89.78360530258614,2,Fresh
0.0212,26.6,68,89.90965572275424,2,Fresh
0.0212,26.6,67,89.19537000846852,2,Fresh
0.0212,26.6,68,89.90965572275424,2,Fresh
0.0212,26.6,68,89.90965572275424,2,Fresh
0.0212,26.6,68,89.90965572275424,2,Fresh
0.0212,26.6,68,89.90965572275424,2,Fresh
0.0212,26.5,68,89.32142042863657,2,Fresh
0.0212,26.5,69,90.03570614292228,2,Fresh
0.0212,26.5,69,90.03570614292228,2,Fresh
0.0212,26.5,69,90.03570614292228,2,Fresh
0.02,26.2,69,88.56169793498795,2,Fresh
0.02,26.5,69,90.32640381734089,2,Fresh
0.02,26.5,69,90.32640381734089,2,Fresh
0.02,26.5,69,90.32640381734089,2,Fresh
0.02,26.5,69,90.32640381734089,2,Fresh
0.02,26.5,69,90.32640381734089,2,Fresh
0.0269,26.5,69,88.65489218943391,2,Fresh
0.0269,26.5,69,88.65489218943391,2,Fresh
0.0269,26.5,69,88.65489218943391,2,Fresh
0.0212,26.5,69,90.03570614292228,2,Fresh
0.0212,26.5,69,90.03570614292228,2,Fresh
0.0212,26.5,69,90.03570614292228,2,Fresh
0.02,26.5,69,90.32640381734089,2,Fresh
0.0212,26.5,69,90.03570614292228,2,Fresh
0.0212,26.5,69,90.03570614292228,2,Fresh
0.02,26.5,69,90.32640381734089,2,Fresh
0.02,26.5,69,90.32640381734089,2,Fresh
0.02,26.5,69,90.32640381734089,2,Fresh
0.0226,26.5,69,89.69655885610057,2,Fresh
0.0226,26.5,69,89.69655885610057,2,Fresh
0.0226,26.5,69,89.69655885610057,2,Fresh
0.02,26.5,69,90.32640381734089,2,Fresh
0.02,26.5,69,90.32640381734089,2,Fresh
0.02,26.5,69,90.32640381734089,2,Fresh
0.0212,26.5,69,90.03570614292228,2,Fresh
0.0212,26.5,69,90.03570614292228,2,Fresh
0.02,26.5,69,90.32640381734089,2,Fresh
0.02,26.4,69,89.73816852322324,2,Fresh
0.0212,26.5,70,90.74999185720799,2,Fresh
0.0212,26.5,71,91.46427757149371,2,Fresh
0.0212,26.5,71,91.46427757149371,2,Fresh
0.0212,26.5,71,91.46427757149371,2,Fresh
0.0212,26.5,71,91.46427757149371,2,Fresh
0.0212,26.5,71,91.46427757149371,2,Fresh
0.02,26.5,71,91.75497524591232,2,Fresh
0.02,26.5,71,91.75497524591232,2,Fresh
0.02,26.5,72,92.46926096019803,2,Fresh
0.0212,26.5,72,92.17856328577942,2,Fresh
0.02,26.5,72,92.46926096019803,2,Fresh
0.02,26.5,72,92.46926096019803,2,Fresh
0.02,26.5,72,92.46926096019803,2,Fresh
0.02,26.5,72,92.46926096019803,2,Fresh
0.02,26.5,72,92.46926096019803,2,Fresh
0.02,26.5,71,91.75497524591232,2,Fresh
0.02,26.5,71,91.75497524591232,2,Fresh
0.02,26.5,71,91.75497524591232,2,Fresh
0.0212,26.5,71,91.46427757149371,2,Fresh
0.0212,26.5,71,91.46427757149371,2,Fresh
0.0212,26.5,71,91.46427757149371,2,Fresh
0.0212,26.5,71,91.46427757149371,2,Fresh
0.0212,26.5,71,91.46427757149371,2,Fresh
0.0212,26.5,71,91.46427757149371,2,Fresh
0.0212,26.5,71,91.46427757149371,2,Fresh
0.0212,26.4,71,90.87604227737607,2,Fresh
0.0212,26.5,71,91.46427757149371,2,Fresh
0.0212,26.5,71,91.46427757149371,2,Fresh
0.0212,26.3,71,90.28780698325842,2,Fresh
0.0212,26.4,71,90.87604227737607,2,Fresh
0.0212,26.5,71,91.46427757149371,2,Fresh
0.0212,26.5,71,91.46427757149371,2,Fresh
0.0212,26.5,71,91.46427757149371,2,Fresh
0.0212,26.5,71,91.46427757149371,2,Fresh
0.0212,26.5,71,91.46427757149371,2,Fresh
0.0212,26.4,71,90.87604227737607,2,Fresh
0.0212,26.2,71,89.69957168914078,2,Fresh
0.0212,26.4,71,90.87604227737607,2,Fresh
0.0212,26.5,71,91.46427757149371,2,Fresh
0.0212,26.4,71,90.87604227737607,2,Fresh
0.0212,26.4,71,90.87604227737607,2,Fresh
0.02,26.4,70,90.45245423750895,2,Fresh
0.0212,26.3,70,89.5735212689727,2,Fresh
0.0212,26.4,70,90.16175656309035,2,Fresh
0.0212,26.4,70,90.16175656309035,2,Fresh
0.0212,26.5,70,90.74999185720799,2,Fresh
0.0212,26.4,70,90.16175656309035,2,Fresh
0.0212,26.4,70,90.16175656309035,2,Fresh
0.0212,26.4,70,90.16175656309035,2,Fresh
0.0212,26.4,70,90.16175656309035,2,Fresh
0.0285,26.4,70,88.39334571037716,2,Fresh
0.024,26.5,70,90.07169728356457,2,Fresh
0.024,26.4,66,86.62631913230408,1,Moderate
0.024,26.4,66,86.62631913230408,1,Moderate
0.024,26.4,64,85.19774770373265,1,Moderate
0.024,26.4,64,85.19774770373265,1,Moderate
0.024,26.2,63,83.30699140121165,1,Moderate
0.024,26.4,64,85.19774770373265,1,Moderate
